	Sci/tech            		    Sports              
001	space               	3.713	cup                 	-3.325
002	software            	3.325	stadium             	-3.073
003	scientists          	3.203	coach               	-3.036
004	technology          	3.158	manchester          	-2.956
005	microsoft           	2.998	cricket             	-2.919
006	nasa                	2.810	nascar              	-2.767
007	internet            	2.732	nba                 	-2.713
008	computer            	2.571	olympic             	-2.698
009	researchers         	2.550	quarterback         	-2.651
010	video               	2.539	sox                 	-2.651
011	companies           	2.407	nhl                 	-2.610
012	music               	2.379	formula             	-2.599
013	intel               	2.288	olympics            	-2.595
014	wireless            	2.214	teams               	-2.485
015	evolution           	2.209	sports              	-2.461
016	earth               	2.184	miami               	-2.422
017	apple               	2.141	athletic            	-2.417
018	study               	2.115	yankees             	-2.415
019	science             	2.112	football            	-2.414
020	electronic          	2.098	baseball            	-2.390
021	online              	2.097	league              	-2.323
022	astronauts          	2.085	prix                	-2.315
023	mars                	2.071	auburn              	-2.271
024	scientific          	2.066	champion            	-2.235
025	experts             	2.061	bowl                	-2.234
026	ceo                 	2.044	tennis              	-2.203
027	research            	2.040	club                	-2.190
028	linux               	2.030	woods               	-2.187
029	helens              	1.989	athens              	-2.165
030	web                 	1.979	basketball          	-2.142
031	phones              	1.964	ford                	-2.081
032	networks            	1.960	bryant              	-2.076
033	code                	1.940	patriots            	-2.069
034	spam                	1.924	expos               	-2.060
035	birds               	1.911	kobe                	-2.041
036	xbox                	1.907	offense             	-2.034
037	species             	1.905	boxing              	-1.995
038	discovered          	1.900	pitcher             	-1.993
039	customers           	1.898	doping              	-1.990
040	ibm                 	1.897	hockey              	-1.974
041	peoplesoft          	1.895	madrid              	-1.905
042	ipod                	1.883	bonds               	-1.890
043	launch              	1.882	offensive           	-1.884
044	moon                	1.879	soccer              	-1.878
045	nintendo            	1.815	coaches             	-1.868
046	dvd                 	1.801	team                	-1.844
047	market              	1.785	jersey              	-1.816
048	astronomers         	1.784	victory             	-1.789
049	ebay                	1.757	crude               	-1.769
050	supercomputer       	1.711	philadelphia        	-1.767
051	born                	1.707	manager             	-1.767
052	presidential        	1.699	williams            	-1.748
053	uk                  	1.694	sport               	-1.741
054	scientist           	1.664	season              	-1.737
055	climate             	1.632	redskins            	-1.733
056	rocket              	1.627	mets                	-1.730
057	industry            	1.625	nfl                 	-1.719
058	spaceshipone        	1.614	championship        	-1.714
059	system              	1.611	barry               	-1.707
060	servers             	1.601	striker             	-1.699
061	pc                  	1.596	tournament          	-1.678
062	google              	1.585	college             	-1.678
063	mount               	1.582	arsenal             	-1.651
064	company             	1.568	athletics           	-1.645
065	inc                 	1.560	yards               	-1.634
066	digital             	1.557	sunday              	-1.633
067	users               	1.557	ncaa                	-1.617
068	halo                	1.554	playoff             	-1.608
069	definition          	1.545	golf                	-1.605
070	sky                 	1.525	saturday            	-1.572
071	william             	1.502	tour                	-1.571
072	washingtonpost      	1.498	ticker              	-1.567
073	technologies        	1.494	anthony             	-1.552
074	human               	1.493	racing              	-1.544
075	services            	1.486	cleveland           	-1.527
076	doctors             	1.483	singh               	-1.524
077	auto                	1.479	trophy              	-1.524
078	health              	1.433	heavyweight         	-1.521
079	x                   	1.432	coaching            	-1.503
080	design              	1.427	players             	-1.498
081	chip                	1.424	teammates           	-1.497
082	theft               	1.417	cubs                	-1.494
083	dell                	1.415	points              	-1.493
084	nobel               	1.411	hall                	-1.491
085	cyber               	1.408	jeff                	-1.488
086	infrastructure      	1.390	chelsea             	-1.476
087	sony                	1.389	ball                	-1.468
088	kennedy             	1.383	marathon            	-1.468
089	device              	1.381	gymnastics          	-1.464
090	search              	1.376	rugby               	-1.457
091	survey              	1.376	guard               	-1.453
092	endangered          	1.368	ricky               	-1.442
093	museum              	1.361	orleans             	-1.439
094	oracle              	1.356	miller              	-1.432
095	gates               	1.354	match               	-1.425
096	cell                	1.352	gary                	-1.425
097	gaming              	1.336	tigers              	-1.415
098	ship                	1.335	postseason          	-1.401
099	review              	1.327	brawl               	-1.387
100	popular             	1.325	afternoon           	-1.387
101	version             	1.324	diego               	-1.376
102	spacecraft          	1.317	liverpool           	-1.375
103	politics            	1.317	knicks              	-1.374
104	micro               	1.312	premiership         	-1.370
105	humans              	1.312	field               	-1.366
106	firefox             	1.310	giants              	-1.358
107	writes              	1.306	championships       	-1.358
108	devices             	1.301	champions           	-1.358
109	screen              	1.301	dodgers             	-1.347
110	virgin              	1.300	player              	-1.342
111	data                	1.298	notre               	-1.340
112	executives          	1.297	preseason           	-1.339
113	fi                  	1.296	dame                	-1.335
114	wired               	1.292	pedro               	-1.334
115	pcs                 	1.291	adrian              	-1.334
116	source              	1.264	finished            	-1.333
117	playstation         	1.264	zimbabwe            	-1.332
118	buying              	1.263	opponent            	-1.323
119	billion             	1.262	federer             	-1.322
120	vendor              	1.260	ny                  	-1.316
121	mp3                 	1.257	rookie              	-1.298
122	article             	1.256	usually             	-1.296
123	broadband           	1.254	chad                	-1.295
124	format              	1.252	goal                	-1.289
125	e                   	1.251	zealand             	-1.282
126	shopping            	1.247	outfielder          	-1.281
127	features            	1.247	signing             	-1.276
128	wildlife            	1.246	positive            	-1.274
129	processor           	1.246	br                  	-1.269
130	copy                	1.242	win                 	-1.265
131	enterprise          	1.241	defense             	-1.263
132	silicon             	1.239	boston              	-1.262
133	1990s               	1.237	oakland             	-1.262
134	consumer            	1.230	nets                	-1.257
135	dna                 	1.230	hamm                	-1.255
136	asia                	1.229	defensive           	-1.250
137	murder              	1.228	receiver            	-1.250
138	hp                  	1.224	defeat              	-1.249
139	bird                	1.219	speedway            	-1.239
140	amazon              	1.218	pacers              	-1.235
141	genesis             	1.216	race                	-1.231
142	windows             	1.216	anaheim             	-1.229
143	virus               	1.214	charlotte           	-1.227
144	editor              	1.213	played              	-1.226
145	nuclear             	1.213	commissioner        	-1.199
146	lt                  	1.207	pitch               	-1.198
147	viruses             	1.205	innings             	-1.190
148	department          	1.199	meters              	-1.185
149	bigley              	1.195	joe                 	-1.185
150	systems             	1.192	races               	-1.185
151	nokia               	1.186	paula               	-1.183
